Date,Time,Pair,Price
10/13/2022,05:57:25 PM,WBTC/USD,19424.0
10/13/2022,05:57:26 PM,WBTC/USD,19424.0
10/13/2022,05:57:27 PM,WBTC/USD,19424.0
10/13/2022,05:57:28 PM,WBTC/USD,19424.0
10/13/2022,05:57:30 PM,WBTC/USD,19424.0
10/13/2022,05:57:31 PM,WBTC/USD,19424.0
10/13/2022,05:57:32 PM,WBTC/USD,19424.0
10/13/2022,05:57:33 PM,WBTC/USD,19424.0
10/13/2022,05:57:34 PM,WBTC/USD,19424.0
10/13/2022,05:57:35 PM,WBTC/USD,19424.0
10/13/2022,05:57:36 PM,WBTC/USD,19432.61
10/13/2022,05:57:37 PM,WBTC/USD,19424.0
10/13/2022,05:57:38 PM,WBTC/USD,19424.0
10/13/2022,05:57:39 PM,WBTC/USD,19424.0
10/13/2022,05:57:40 PM,WBTC/USD,19431.99
10/13/2022,05:57:42 PM,WBTC/USD,19431.46
10/13/2022,05:57:43 PM,WBTC/USD,19431.43
10/13/2022,05:57:44 PM,WBTC/USD,19431.07
10/13/2022,05:57:44 PM,WBTC/USD,19431.14
10/13/2022,05:57:45 PM,WBTC/USD,19436.0
10/13/2022,05:57:47 PM,WBTC/USD,19436.0
10/13/2022,05:57:48 PM,WBTC/USD,19436.0
10/13/2022,05:57:49 PM,WBTC/USD,19436.0
10/13/2022,05:57:51 PM,WBTC/USD,19436.0
10/13/2022,05:57:52 PM,WBTC/USD,19436.0
10/13/2022,05:57:53 PM,WBTC/USD,19436.0
10/13/2022,05:57:54 PM,WBTC/USD,19436.0
10/13/2022,05:57:55 PM,WBTC/USD,19438.0
10/13/2022,05:57:56 PM,WBTC/USD,19438.0
10/13/2022,05:57:57 PM,WBTC/USD,19435.0
10/13/2022,05:57:58 PM,WBTC/USD,19436.0
10/13/2022,05:58:00 PM,WBTC/USD,19428.0
10/13/2022,05:58:00 PM,WBTC/USD,19436.0
10/13/2022,05:58:01 PM,WBTC/USD,19436.0
10/13/2022,05:58:03 PM,WBTC/USD,19436.0
10/13/2022,05:58:04 PM,WBTC/USD,19436.0
10/13/2022,05:58:05 PM,WBTC/USD,19436.0
10/13/2022,05:58:06 PM,WBTC/USD,19427.0
10/13/2022,05:58:07 PM,WBTC/USD,19426.0
10/13/2022,05:58:08 PM,WBTC/USD,19435.0
10/13/2022,05:58:10 PM,WBTC/USD,19435.0
10/13/2022,05:58:11 PM,WBTC/USD,19426.0
10/13/2022,05:58:12 PM,WBTC/USD,19435.0
10/13/2022,05:58:13 PM,WBTC/USD,19435.0
10/13/2022,05:58:14 PM,WBTC/USD,19432.0
10/13/2022,05:58:15 PM,WBTC/USD,19432.0
10/13/2022,05:58:16 PM,WBTC/USD,19427.0
10/13/2022,05:58:17 PM,WBTC/USD,19427.0
10/13/2022,05:58:18 PM,WBTC/USD,19427.0
10/13/2022,05:58:19 PM,WBTC/USD,19427.0
10/13/2022,05:58:21 PM,WBTC/USD,19427.0
10/13/2022,05:58:22 PM,WBTC/USD,19424.0
10/13/2022,05:58:23 PM,WBTC/USD,19427.0
10/13/2022,05:58:24 PM,WBTC/USD,19425.0
10/13/2022,05:58:25 PM,WBTC/USD,19424.0
10/13/2022,05:58:25 PM,WBTC/USD,19424.0
10/13/2022,05:58:27 PM,WBTC/USD,19424.0
10/13/2022,05:58:28 PM,WBTC/USD,19426.0
10/13/2022,05:58:29 PM,WBTC/USD,19423.0
10/13/2022,05:58:30 PM,WBTC/USD,19426.0
10/13/2022,05:58:31 PM,WBTC/USD,19422.0
10/13/2022,05:58:32 PM,WBTC/USD,19421.0
10/13/2022,05:58:33 PM,WBTC/USD,19426.0
10/13/2022,05:58:34 PM,WBTC/USD,19424.0
10/13/2022,05:58:36 PM,WBTC/USD,19424.0
10/13/2022,05:58:36 PM,WBTC/USD,19424.0
10/13/2022,05:58:38 PM,WBTC/USD,19424.0
10/13/2022,05:58:39 PM,WBTC/USD,19421.0
10/13/2022,05:58:40 PM,WBTC/USD,19421.0
10/13/2022,05:58:41 PM,WBTC/USD,19421.0
10/13/2022,05:58:42 PM,WBTC/USD,19424.0
10/13/2022,05:58:43 PM,WBTC/USD,19419.0
10/13/2022,05:58:44 PM,WBTC/USD,19418.0
10/13/2022,05:58:45 PM,WBTC/USD,19424.0
10/13/2022,05:58:46 PM,WBTC/USD,19424.0
10/13/2022,05:58:47 PM,WBTC/USD,19424.0
10/13/2022,05:58:48 PM,WBTC/USD,19424.0
10/13/2022,05:58:49 PM,WBTC/USD,19424.0
10/13/2022,05:58:50 PM,WBTC/USD,19421.0
10/13/2022,05:58:51 PM,WBTC/USD,19421.0
10/13/2022,05:58:52 PM,WBTC/USD,19421.0
10/13/2022,05:58:53 PM,WBTC/USD,19416.0
10/13/2022,05:58:54 PM,WBTC/USD,19421.0
10/13/2022,05:58:55 PM,WBTC/USD,19416.0
10/13/2022,05:58:56 PM,WBTC/USD,19418.0
10/13/2022,05:58:57 PM,WBTC/USD,19416.0
10/13/2022,05:58:58 PM,WBTC/USD,19416.0
10/13/2022,05:58:59 PM,WBTC/USD,19416.0
10/13/2022,05:59:00 PM,WBTC/USD,19418.0
10/13/2022,05:59:01 PM,WBTC/USD,19418.0
10/13/2022,05:59:03 PM,WBTC/USD,19418.0
10/13/2022,05:59:04 PM,WBTC/USD,19418.0
10/13/2022,05:59:05 PM,WBTC/USD,19416.0
10/13/2022,05:59:06 PM,WBTC/USD,19415.0
10/13/2022,05:59:07 PM,WBTC/USD,19416.0
10/13/2022,05:59:08 PM,WBTC/USD,19416.0
10/13/2022,05:59:08 PM,WBTC/USD,19416.0
10/13/2022,05:59:09 PM,WBTC/USD,19416.0
10/13/2022,05:59:10 PM,WBTC/USD,19416.0
10/13/2022,05:59:11 PM,WBTC/USD,19414.0
10/13/2022,05:59:12 PM,WBTC/USD,19416.0
10/13/2022,05:59:14 PM,WBTC/USD,19416.0
10/13/2022,05:59:15 PM,WBTC/USD,19416.0
10/13/2022,05:59:16 PM,WBTC/USD,19415.0
10/13/2022,05:59:17 PM,WBTC/USD,19415.0
10/13/2022,05:59:18 PM,WBTC/USD,19415.0
10/13/2022,05:59:19 PM,WBTC/USD,19414.0
10/13/2022,05:59:20 PM,WBTC/USD,19415.0
10/13/2022,05:59:21 PM,WBTC/USD,19415.0
10/13/2022,05:59:23 PM,WBTC/USD,19415.0
10/13/2022,05:59:24 PM,WBTC/USD,19415.0
10/13/2022,05:59:25 PM,WBTC/USD,19415.0
10/13/2022,05:59:26 PM,WBTC/USD,19414.0
10/13/2022,05:59:27 PM,WBTC/USD,19414.0
10/13/2022,05:59:28 PM,WBTC/USD,19414.0
10/13/2022,05:59:29 PM,WBTC/USD,19414.0
10/13/2022,05:59:30 PM,WBTC/USD,19414.0
10/13/2022,05:59:31 PM,WBTC/USD,19414.0
10/13/2022,05:59:32 PM,WBTC/USD,19414.0
10/13/2022,05:59:33 PM,WBTC/USD,19414.0
10/13/2022,05:59:34 PM,WBTC/USD,19414.0
10/13/2022,05:59:35 PM,WBTC/USD,19414.0
10/13/2022,05:59:36 PM,WBTC/USD,19414.0
10/13/2022,05:59:37 PM,WBTC/USD,19414.0
10/13/2022,05:59:38 PM,WBTC/USD,19415.0
10/13/2022,05:59:39 PM,WBTC/USD,19415.0
10/13/2022,05:59:40 PM,WBTC/USD,19415.0
10/13/2022,05:59:41 PM,WBTC/USD,19412.0
10/13/2022,05:59:42 PM,WBTC/USD,19412.0
10/13/2022,05:59:44 PM,WBTC/USD,19412.0
10/13/2022,05:59:45 PM,WBTC/USD,19412.0
10/13/2022,05:59:46 PM,WBTC/USD,19412.0
10/13/2022,05:59:47 PM,WBTC/USD,19412.0
10/13/2022,05:59:48 PM,WBTC/USD,19412.0
10/13/2022,05:59:50 PM,WBTC/USD,19412.0
10/13/2022,05:59:51 PM,WBTC/USD,19412.0
10/13/2022,05:59:52 PM,WBTC/USD,19412.0
10/13/2022,05:59:53 PM,WBTC/USD,19414.0
10/13/2022,05:59:54 PM,WBTC/USD,19414.0
10/13/2022,05:59:55 PM,WBTC/USD,19414.0
10/13/2022,05:59:56 PM,WBTC/USD,19409.0
10/13/2022,05:59:57 PM,WBTC/USD,19414.0
10/13/2022,05:59:58 PM,WBTC/USD,19414.0
10/13/2022,05:59:59 PM,WBTC/USD,19413.0
10/13/2022,06:00:00 PM,WBTC/USD,19413.0
10/13/2022,06:00:04 PM,WBTC/USD,19413.0
10/13/2022,06:00:05 PM,WBTC/USD,19413.0
10/13/2022,06:00:06 PM,WBTC/USD,19412.0
10/13/2022,06:00:07 PM,WBTC/USD,19412.0
10/13/2022,06:00:08 PM,WBTC/USD,19412.0
10/13/2022,06:00:09 PM,WBTC/USD,19412.0
10/13/2022,06:00:11 PM,WBTC/USD,19412.0
10/13/2022,06:00:12 PM,WBTC/USD,19406.0
10/13/2022,06:00:13 PM,WBTC/USD,19412.0
10/13/2022,06:00:14 PM,WBTC/USD,19412.0
10/13/2022,06:00:15 PM,WBTC/USD,19407.0
10/13/2022,06:00:16 PM,WBTC/USD,19407.0
10/13/2022,06:00:17 PM,WBTC/USD,19405.0
10/13/2022,06:00:18 PM,WBTC/USD,19407.0
10/13/2022,06:00:19 PM,WBTC/USD,19410.81
10/13/2022,06:00:20 PM,WBTC/USD,19411.4
10/13/2022,06:00:20 PM,WBTC/USD,19417.46
10/13/2022,06:00:21 PM,WBTC/USD,19417.0
10/13/2022,06:00:23 PM,WBTC/USD,19417.0
10/13/2022,06:00:24 PM,WBTC/USD,19422.64
10/13/2022,06:00:25 PM,WBTC/USD,19423.66
10/13/2022,06:00:26 PM,WBTC/USD,19423.62
10/13/2022,06:00:27 PM,WBTC/USD,19423.33
10/13/2022,06:00:28 PM,WBTC/USD,19422.62
10/13/2022,06:00:29 PM,WBTC/USD,19420.14
10/13/2022,06:00:30 PM,WBTC/USD,19416.42
10/13/2022,06:00:31 PM,WBTC/USD,19415.05
10/13/2022,06:00:32 PM,WBTC/USD,19413.7
10/13/2022,06:00:33 PM,WBTC/USD,19413.22
10/13/2022,06:00:34 PM,WBTC/USD,19413.27
10/13/2022,06:00:36 PM,WBTC/USD,19411.73
10/13/2022,06:00:37 PM,WBTC/USD,19412.5
10/13/2022,06:00:38 PM,WBTC/USD,19412.64
10/13/2022,06:00:39 PM,WBTC/USD,19421.0
10/13/2022,06:00:39 PM,WBTC/USD,19421.0
10/13/2022,06:00:41 PM,WBTC/USD,19421.0
10/13/2022,06:00:41 PM,WBTC/USD,19414.0
10/13/2022,06:00:43 PM,WBTC/USD,19421.0
10/13/2022,06:00:44 PM,WBTC/USD,19421.0
10/13/2022,06:00:44 PM,WBTC/USD,19422.0
10/13/2022,06:00:45 PM,WBTC/USD,19422.0
10/13/2022,06:00:46 PM,WBTC/USD,19422.0
10/13/2022,06:00:48 PM,WBTC/USD,19418.0
10/13/2022,06:00:49 PM,WBTC/USD,19418.0
10/13/2022,06:00:50 PM,WBTC/USD,19418.0
10/13/2022,06:00:51 PM,WBTC/USD,19418.0
10/13/2022,06:00:52 PM,WBTC/USD,19418.0
10/13/2022,06:00:53 PM,WBTC/USD,19414.0
10/13/2022,06:00:54 PM,WBTC/USD,19414.0
10/13/2022,06:00:55 PM,WBTC/USD,19414.0
10/13/2022,06:00:56 PM,WBTC/USD,19414.0
10/13/2022,06:00:57 PM,WBTC/USD,19414.0
10/13/2022,06:00:59 PM,WBTC/USD,19414.0
10/13/2022,06:00:59 PM,WBTC/USD,19414.0
10/13/2022,06:01:01 PM,WBTC/USD,19414.0
10/13/2022,06:01:01 PM,WBTC/USD,19414.0
10/13/2022,06:01:02 PM,WBTC/USD,19414.0
10/13/2022,06:01:04 PM,WBTC/USD,19412.0
10/13/2022,06:01:05 PM,WBTC/USD,19412.0
10/13/2022,06:01:06 PM,WBTC/USD,19411.0
10/13/2022,06:01:07 PM,WBTC/USD,19411.0
10/13/2022,06:01:08 PM,WBTC/USD,19411.0
10/13/2022,06:01:09 PM,WBTC/USD,19411.5
10/13/2022,06:01:10 PM,WBTC/USD,19411.5
10/13/2022,06:01:11 PM,WBTC/USD,19415.34
10/13/2022,06:01:12 PM,WBTC/USD,19415.85
10/13/2022,06:01:13 PM,WBTC/USD,19415.83
10/13/2022,06:01:14 PM,WBTC/USD,19418.17
10/13/2022,06:01:15 PM,WBTC/USD,19418.0
10/13/2022,06:01:16 PM,WBTC/USD,19418.77
10/13/2022,06:01:17 PM,WBTC/USD,19418.14
10/13/2022,06:01:18 PM,WBTC/USD,19418.6
10/13/2022,06:01:19 PM,WBTC/USD,19417.84
10/13/2022,06:01:20 PM,WBTC/USD,19417.59
10/13/2022,06:01:21 PM,WBTC/USD,19419.16
10/13/2022,06:01:22 PM,WBTC/USD,19418.09
10/13/2022,06:01:24 PM,WBTC/USD,19417.49
10/13/2022,06:01:25 PM,WBTC/USD,19417.1
10/13/2022,06:01:26 PM,WBTC/USD,19418.69
10/13/2022,06:01:27 PM,WBTC/USD,19418.0
10/13/2022,06:01:28 PM,WBTC/USD,19418.0
10/13/2022,06:01:29 PM,WBTC/USD,19418.26
10/13/2022,06:01:31 PM,WBTC/USD,19418.0
10/13/2022,06:01:32 PM,WBTC/USD,19418.23
10/13/2022,06:01:33 PM,WBTC/USD,19418.06
10/13/2022,06:01:34 PM,WBTC/USD,19418.74
10/13/2022,06:01:35 PM,WBTC/USD,19418.53
10/13/2022,06:01:36 PM,WBTC/USD,19418.73
10/13/2022,06:01:37 PM,WBTC/USD,19419.58
10/13/2022,06:01:38 PM,WBTC/USD,19419.0
10/13/2022,06:01:39 PM,WBTC/USD,19419.09
10/13/2022,06:01:40 PM,WBTC/USD,19423.25
10/13/2022,06:01:41 PM,WBTC/USD,19423.0
10/13/2022,06:01:42 PM,WBTC/USD,19423.0
10/13/2022,06:01:43 PM,WBTC/USD,19423.39
10/13/2022,06:01:44 PM,WBTC/USD,19423.84
10/13/2022,06:01:45 PM,WBTC/USD,19424.46
10/13/2022,06:01:46 PM,WBTC/USD,19423.96
10/13/2022,06:01:47 PM,WBTC/USD,19424.78
10/13/2022,06:01:48 PM,WBTC/USD,19427.0
10/13/2022,06:01:49 PM,WBTC/USD,19432.0
10/13/2022,06:01:50 PM,WBTC/USD,19427.0
10/13/2022,06:01:51 PM,WBTC/USD,19427.0
10/13/2022,06:01:52 PM,WBTC/USD,19435.14
10/13/2022,06:01:53 PM,WBTC/USD,19435.26
10/13/2022,06:01:54 PM,WBTC/USD,19439.0
10/13/2022,06:01:55 PM,WBTC/USD,19433.97
10/13/2022,06:01:56 PM,WBTC/USD,19439.0
10/13/2022,06:01:57 PM,WBTC/USD,19424.0
10/13/2022,06:01:58 PM,WBTC/USD,19424.0
10/13/2022,06:01:59 PM,WBTC/USD,19424.0
