Date,Time,Pair,Price
10/06/2022,10:32:46,WBTC/USD,20035.21
10/06/2022,10:32:47,WBTC/USD,20035.17
10/06/2022,10:32:48,WBTC/USD,20035.05
10/06/2022,10:32:49,WBTC/USD,20035.0
10/06/2022,10:32:50,WBTC/USD,20035.0
10/06/2022,10:32:51,WBTC/USD,20035.05
10/06/2022,10:32:53,WBTC/USD,20035.07
10/06/2022,10:32:54,WBTC/USD,20035.79
10/06/2022,10:32:55,WBTC/USD,20035.07
10/06/2022,10:32:56,WBTC/USD,20035.0
10/06/2022,10:32:57,WBTC/USD,20035.0
10/06/2022,10:32:58,WBTC/USD,20035.0
10/06/2022,10:32:59,WBTC/USD,20035.0
10/06/2022,10:33:01,WBTC/USD,20035.5
10/06/2022,10:33:02,WBTC/USD,20035.0
10/06/2022,10:33:03,WBTC/USD,20035.0
10/06/2022,10:33:04,WBTC/USD,20035.0
10/06/2022,10:33:05,WBTC/USD,20035.0
10/06/2022,10:33:06,WBTC/USD,20035.11
10/06/2022,10:33:07,WBTC/USD,20036.97
10/06/2022,10:33:08,WBTC/USD,20036.97
10/06/2022,10:33:09,WBTC/USD,20037.51
10/06/2022,10:33:10,WBTC/USD,20039.27
10/06/2022,10:33:11,WBTC/USD,20037.76
10/06/2022,10:33:12,WBTC/USD,20036.38
10/06/2022,10:33:13,WBTC/USD,20036.91
10/06/2022,10:33:15,WBTC/USD,20036.03
10/06/2022,10:33:15,WBTC/USD,20035.23
10/06/2022,10:33:17,WBTC/USD,20034.83017429
10/06/2022,10:33:18,WBTC/USD,20034.83017429
10/06/2022,10:33:19,WBTC/USD,20034.83017429
10/06/2022,10:33:20,WBTC/USD,20034.83017429
10/06/2022,10:33:21,WBTC/USD,20034.83017429
10/06/2022,10:33:22,WBTC/USD,20034.83017429
10/06/2022,10:33:24,WBTC/USD,20034.83017429
10/06/2022,10:33:25,WBTC/USD,20034.83017429
10/06/2022,10:33:26,WBTC/USD,20034.83017429
10/06/2022,10:33:27,WBTC/USD,20034.83017429
10/06/2022,10:33:28,WBTC/USD,20034.83017429
10/06/2022,10:33:29,WBTC/USD,20034.83017429
10/06/2022,10:33:30,WBTC/USD,20034.83017429
10/06/2022,10:33:32,WBTC/USD,20034.83017429
10/06/2022,10:33:32,WBTC/USD,20034.83017429
10/06/2022,10:33:33,WBTC/USD,20034.83017429
10/06/2022,10:33:34,WBTC/USD,20034.83017429
10/06/2022,10:33:36,WBTC/USD,20034.83017429
10/06/2022,10:33:37,WBTC/USD,20034.83017429
10/06/2022,10:33:38,WBTC/USD,20034.83017429
10/06/2022,10:33:39,WBTC/USD,20034.83017429
10/06/2022,10:33:40,WBTC/USD,20034.83017429
10/06/2022,10:33:42,WBTC/USD,20034.83017429
10/06/2022,10:33:43,WBTC/USD,20035.01
10/06/2022,10:33:44,WBTC/USD,20035.0
10/06/2022,10:33:45,WBTC/USD,20035.0
10/06/2022,10:33:46,WBTC/USD,20035.0
10/06/2022,10:33:47,WBTC/USD,20035.0
10/06/2022,10:33:48,WBTC/USD,20035.0
10/06/2022,10:33:49,WBTC/USD,20035.0
10/06/2022,10:33:51,WBTC/USD,20035.0
10/06/2022,10:33:52,WBTC/USD,20035.0
10/06/2022,10:33:53,WBTC/USD,20035.0
10/06/2022,10:33:54,WBTC/USD,20036.0
10/06/2022,10:33:55,WBTC/USD,20036.0
10/06/2022,10:33:56,WBTC/USD,20036.0
10/06/2022,10:33:57,WBTC/USD,20036.0
10/06/2022,10:33:58,WBTC/USD,20036.0
10/06/2022,10:33:59,WBTC/USD,20036.0
10/06/2022,10:34:00,WBTC/USD,20036.0
10/06/2022,10:34:01,WBTC/USD,20036.0
10/06/2022,10:34:03,WBTC/USD,20036.0
10/06/2022,10:34:04,WBTC/USD,20036.0
10/06/2022,10:34:05,WBTC/USD,20036.0
10/06/2022,10:34:06,WBTC/USD,20036.0
10/06/2022,10:34:07,WBTC/USD,20036.0
10/06/2022,10:34:08,WBTC/USD,20036.0
10/06/2022,10:34:10,WBTC/USD,20036.0
10/06/2022,10:34:11,WBTC/USD,20036.0
10/06/2022,10:34:12,WBTC/USD,20036.0
10/06/2022,10:34:13,WBTC/USD,20036.0
10/06/2022,10:34:14,WBTC/USD,20036.0
10/06/2022,10:34:15,WBTC/USD,20036.0
10/06/2022,10:34:16,WBTC/USD,20036.0
10/06/2022,10:34:18,WBTC/USD,20036.0
10/06/2022,10:34:18,WBTC/USD,20036.0
10/06/2022,10:34:19,WBTC/USD,20036.0
10/06/2022,10:34:20,WBTC/USD,20033.0
10/06/2022,10:34:22,WBTC/USD,20036.0
10/06/2022,10:34:23,WBTC/USD,20036.0
10/06/2022,10:34:24,WBTC/USD,20036.0
10/06/2022,10:34:25,WBTC/USD,20036.0
10/06/2022,10:34:26,WBTC/USD,20036.0
10/06/2022,10:34:27,WBTC/USD,20036.0
10/06/2022,10:34:28,WBTC/USD,20036.0
10/06/2022,10:34:29,WBTC/USD,20036.0
10/06/2022,10:34:30,WBTC/USD,20028.94647138
10/06/2022,10:34:31,WBTC/USD,20036.0
10/06/2022,10:34:33,WBTC/USD,20036.0
10/06/2022,10:34:33,WBTC/USD,20036.0
10/06/2022,10:34:34,WBTC/USD,20034.0
10/06/2022,10:34:36,WBTC/USD,20036.0
10/06/2022,10:34:37,WBTC/USD,20036.0
10/06/2022,10:34:38,WBTC/USD,20030.53
10/06/2022,10:34:39,WBTC/USD,20029.35
10/06/2022,10:34:40,WBTC/USD,20029.35
10/06/2022,10:34:41,WBTC/USD,20029.86
10/06/2022,10:34:42,WBTC/USD,20030.01
10/06/2022,10:34:43,WBTC/USD,20030.6
10/06/2022,10:34:45,WBTC/USD,20031.05
10/06/2022,10:34:46,WBTC/USD,20029.95
10/06/2022,10:34:47,WBTC/USD,20030.29
10/06/2022,10:34:48,WBTC/USD,20032.07131583
10/06/2022,10:34:49,WBTC/USD,20032.07131583
10/06/2022,10:34:50,WBTC/USD,20032.07131583
10/06/2022,10:34:51,WBTC/USD,20032.07131583
10/06/2022,10:34:52,WBTC/USD,20032.07131583
10/06/2022,10:34:54,WBTC/USD,20032.07131583
10/06/2022,10:34:55,WBTC/USD,20032.07131583
10/06/2022,10:34:56,WBTC/USD,20032.07131583
10/06/2022,10:34:57,WBTC/USD,20032.07131583
10/06/2022,10:34:58,WBTC/USD,20032.07131583
10/06/2022,10:35:00,WBTC/USD,20032.07131583
10/06/2022,10:35:01,WBTC/USD,20032.07131583
10/06/2022,10:35:02,WBTC/USD,20032.07131583
10/06/2022,10:35:03,WBTC/USD,20032.07131583
10/06/2022,10:35:04,WBTC/USD,20032.07131583
10/06/2022,10:35:05,WBTC/USD,20032.07131583
10/06/2022,10:35:06,WBTC/USD,20032.07131583
